date,ticker,sector,open,high,low,close,volume,is_anomaly
2023-01-02,HCAR,Autos,162.2,165.75,159.75,161.14,79832,f
2023-01-03,HCAR,Autos,161.14,161.14,152.0,152.91,59220,f
2023-01-04,HCAR,Autos,154.44,154.44,146.0,146.51,49303,f
2023-01-05,HCAR,Autos,148.98,148.99,136.05,142.71,258362,f
2023-01-06,HCAR,Autos,144.99,146.8,137.55,139.07,99796,f
2023-01-09,HCAR,Autos,138.99,139.0,136.0,136.28,45370,f
2023-01-10,HCAR,Autos,139.85,142.87,136.7,140.76,239897,f
2023-01-11,HCAR,Autos,141.95,141.95,136.82,137.22,84089,f
2023-01-12,HCAR,Autos,136.5,141.5,136.5,137.41,118341,f
2023-01-13,HCAR,Autos,136.88,138.4,133.11,136.78,47990,f
2023-01-16,HCAR,Autos,136.15,137.7,134.75,135.22,51820,f
2023-01-17,HCAR,Autos,137.02,137.02,129.5,130.28,60346,f
2023-01-18,HCAR,Autos,132.98,132.98,128.0,130.42,23251,f
2023-01-19,HCAR,Autos,133.27,133.3,130.8,132.24,20144,f
2023-01-20,HCAR,Autos,134.0,134.0,127.01,131.17,13998,f
2023-01-23,HCAR,Autos,132.0,132.0,128.55,130.82,7064,f
2023-01-24,HCAR,Autos,132.96,135.0,131.01,134.41,47080,f
2023-01-25,HCAR,Autos,134.1,137.5,133.0,135.89,73621,f
2023-01-26,HCAR,Autos,136.9,143.44,134.0,136.0,412390,f
2023-01-27,HCAR,Autos,134.9,136.0,132.02,132.95,27043,f
2023-01-30,HCAR,Autos,134.49,134.49,129.0,130.47,53679,f
2023-01-31,HCAR,Autos,132.27,132.5,128.0,128.59,188696,f
2023-02-01,HCAR,Autos,130.3,130.5,128.5,129.85,51821,f
2023-02-02,HCAR,Autos,131.0,131.0,128.08,130.77,27255,f
2023-02-03,HCAR,Autos,131.07,132.0,128.0,129.1,32742,f
2023-02-06,HCAR,Autos,128.17,130.0,126.82,127.25,143711,f
2023-02-07,HCAR,Autos,129.43,130.0,124.0,124.55,397351,f
2023-02-08,HCAR,Autos,124.26,131.0,123.76,130.16,2195374,f
2023-02-09,HCAR,Autos,131.8,135.1,131.0,133.02,474659,f
2023-02-10,HCAR,Autos,131.3,132.0,123.05,127.96,183692,f
2023-02-13,HCAR,Autos,130.26,131.0,126.51,128.0,95411,f
2023-02-14,HCAR,Autos,129.8,130.0,126.02,127.13,42368,f
2023-02-15,HCAR,Autos,128.4,128.4,126.0,127.32,16776,f
2023-02-16,HCAR,Autos,127.0,128.9,126.51,127.02,50811,f
2023-02-17,HCAR,Autos,128.24,128.24,125.1,127.19,28804,f
2023-02-20,HCAR,Autos,128.38,128.38,125.5,125.89,14627,f
2023-02-21,HCAR,Autos,127.69,127.69,125.2,125.95,14234,f
2023-02-22,HCAR,Autos,125.1,127.0,124.6,126.51,40188,f
2023-02-23,HCAR,Autos,125.71,127.25,124.27,125.98,19415,f
2023-02-24,HCAR,Autos,127.1,127.1,122.0,122.73,27190,f
2023-02-27,HCAR,Autos,123.4,124.0,122.0,122.78,20976,f
2023-02-28,HCAR,Autos,123.79,125.7,120.0,121.03,52830,f
2023-03-01,HCAR,Autos,121.98,121.98,117.0,117.95,127900,f
2023-03-02,HCAR,Autos,118.79,118.79,115.9,116.17,55300,f
2023-03-03,HCAR,Autos,117.0,119.0,113.25,118.63,39508,f
2023-03-06,HCAR,Autos,119.99,126.44,118.71,122.84,118352,f
2023-03-07,HCAR,Autos,123.89,123.89,120.5,120.83,44781,f
2023-03-08,HCAR,Autos,122.49,122.49,119.0,119.53,18360,f
2023-03-09,HCAR,Autos,121.59,121.59,118.05,119.36,20534,f
2023-03-10,HCAR,Autos,120.81,120.81,118.0,118.43,47816,f
2023-03-13,HCAR,Autos,118.0,119.83,116.2,116.67,48208,f
2023-03-14,HCAR,Autos,115.95,118.44,115.95,116.43,42767,f
2023-03-15,HCAR,Autos,116.2,119.27,115.0,115.84,135440,f
2023-03-16,HCAR,Autos,117.27,122.03,116.21,119.88,694697,f
2023-03-17,HCAR,Autos,120.5,122.9,119.0,121.51,228408,f
2023-03-20,HCAR,Autos,121.0,123.2,119.0,119.36,132498,f
2023-03-21,HCAR,Autos,118.21,119.48,116.99,117.09,159092,f
2023-03-22,HCAR,Autos,118.1,118.1,113.5,113.88,61657,f
2023-03-24,HCAR,Autos,113.89,113.89,110.0,110.41,95586,f
2023-03-27,HCAR,Autos,112.85,112.85,109.75,110.24,38594,f
2023-03-28,HCAR,Autos,110.24,111.99,109.85,110.06,22311,f
2023-03-29,HCAR,Autos,110.95,111.6,109.5,110.2,53559,f
2023-03-30,HCAR,Autos,110.2,117.75,109.92,115.53,75637,f
2023-03-31,HCAR,Autos,113.11,118.9,112.27,117.83,104077,f
2023-04-03,HCAR,Autos,117.83,117.83,113.9,114.81,24441,f
2023-04-04,HCAR,Autos,114.99,114.99,110.5,112.69,8988,f
2023-04-05,HCAR,Autos,112.01,114.94,110.0,110.31,43375,f
2023-04-06,HCAR,Autos,111.99,115.0,110.31,113.66,45153,f
2023-04-07,HCAR,Autos,114.99,114.99,109.6,110.73,27434,f
2023-04-10,HCAR,Autos,113.0,113.0,109.0,109.1,32835,f
2023-04-11,HCAR,Autos,110.0,111.88,110.0,110.51,25501,f
2023-04-12,HCAR,Autos,110.8,114.97,110.6,113.57,64951,f
2023-04-13,HCAR,Autos,114.0,115.5,109.0,113.27,68849,f
2023-04-17,HCAR,Autos,114.0,114.5,113.02,113.99,6523,f
2023-04-18,HCAR,Autos,115.0,115.0,112.0,114.05,11437,f
2023-04-19,HCAR,Autos,112.75,115.0,112.7,114.85,24494,f
2023-04-20,HCAR,Autos,115.7,115.7,114.04,114.86,18069,f
2023-04-26,HCAR,Autos,114.99,115.0,113.0,114.22,63000,f
2023-04-27,HCAR,Autos,114.8,115.74,113.2,114.62,38992,f
2023-04-28,HCAR,Autos,115.15,116.24,111.65,112.3,76259,f
2023-05-02,HCAR,Autos,113.25,113.45,111.0,112.48,28371,f
2023-05-03,HCAR,Autos,111.51,113.1,110.35,110.49,50080,f
2023-05-04,HCAR,Autos,110.52,111.91,109.5,109.9,43823,f
2023-05-05,HCAR,Autos,110.6,110.6,109.0,109.51,26240,f
2023-05-08,HCAR,Autos,110.44,110.44,108.5,108.72,22856,f
2023-05-09,HCAR,Autos,109.95,109.95,105.0,105.33,53332,f
2023-05-10,HCAR,Autos,106.89,106.89,100.51,102.96,60395,f
2023-05-11,HCAR,Autos,104.95,104.95,101.5,101.76,273269,f
2023-05-12,HCAR,Autos,103.24,104.85,102.0,102.5,26516,f
2023-05-15,HCAR,Autos,101.0,107.4,101.0,106.01,568521,f
2023-05-16,HCAR,Autos,107.1,109.75,105.01,105.49,277141,f
2023-05-17,HCAR,Autos,105.0,106.69,103.91,104.48,77680,f
2023-05-18,HCAR,Autos,105.0,105.0,100.11,101.39,130578,f
2023-05-19,HCAR,Autos,102.79,106.25,101.0,105.32,103218,f
2023-05-22,HCAR,Autos,106.42,107.0,103.5,104.3,74062,f
2023-05-23,HCAR,Autos,104.0,105.49,103.01,104.46,22948,f
2023-05-24,HCAR,Autos,104.0,106.0,103.52,104.67,19980,f
2023-05-25,HCAR,Autos,105.45,105.45,100.75,101.29,90721,f
2023-05-26,HCAR,Autos,98.51,100.88,96.5,96.96,174379,f
2023-05-29,HCAR,Autos,99.0,99.0,93.1,95.12,95360,f
2023-05-30,HCAR,Autos,95.12,96.85,94.03,94.89,47767,f
2023-05-31,HCAR,Autos,94.89,97.19,93.0,93.31,32141,f
2023-06-01,HCAR,Autos,94.88,94.89,92.55,93.8,25515,f
2023-06-02,HCAR,Autos,95.04,95.04,92.5,94.04,37976,f
2023-06-05,HCAR,Autos,94.2,94.5,93.0,93.78,54670,f
2023-06-06,HCAR,Autos,93.95,97.9,93.31,95.31,97312,f
2023-06-07,HCAR,Autos,96.0,99.4,93.57,97.68,621717,f
2023-06-08,HCAR,Autos,98.98,98.98,95.12,95.7,57127,f
2023-06-09,HCAR,Autos,96.25,98.7,96.0,96.17,179180,f
2023-06-12,HCAR,Autos,97.4,97.5,95.0,95.89,154763,f
2023-06-13,HCAR,Autos,96.99,96.99,89.0,93.98,2079234,f
2023-06-14,HCAR,Autos,94.17,94.21,93.0,93.49,92720,f
2023-06-15,HCAR,Autos,93.0,94.0,92.51,93.48,49624,f
2023-06-16,HCAR,Autos,93.4,95.9,92.0,92.6,89614,f
2023-06-19,HCAR,Autos,92.5,93.48,90.5,91.28,59140,f
2023-06-20,HCAR,Autos,90.09,91.88,89.0,89.49,48594,f
2023-06-21,HCAR,Autos,89.33,90.09,86.0,86.96,38422,f
2023-06-22,HCAR,Autos,87.94,87.94,84.14,84.57,25343,f
2023-06-23,HCAR,Autos,84.46,84.99,81.33,82.41,45414,f
2023-06-26,HCAR,Autos,85.5,88.59,85.0,88.59,222490,f
2023-06-27,HCAR,Autos,88.9,94.95,88.0,92.36,1088735,f
2023-07-03,HCAR,Autos,99.29,99.29,95.6,99.29,186863,f
2023-07-04,HCAR,Autos,106.74,106.74,100.0,101.82,595054,f
2023-07-05,HCAR,Autos,103.0,103.0,100.1,100.73,125375,f
2023-07-06,HCAR,Autos,101.5,101.5,98.54,99.59,81720,f
2023-07-07,HCAR,Autos,99.89,100.98,98.51,100.28,182330,f
2023-07-10,HCAR,Autos,100.25,107.8,100.2,107.8,723660,f
2023-07-11,HCAR,Autos,108.0,115.89,108.0,115.89,757236,f
2023-07-12,HCAR,Autos,117.0,118.95,114.0,116.1,941974,f
2023-07-13,HCAR,Autos,120.05,124.81,117.0,124.81,543281,f
2023-07-14,HCAR,Autos,124.97,132.2,122.75,124.27,1167384,f
2023-07-17,HCAR,Autos,125.0,129.1,120.01,122.54,366460,f
2023-07-18,HCAR,Autos,123.7,123.75,113.35,114.05,313391,f
2023-07-19,HCAR,Autos,112.0,113.5,109.0,110.1,290375,f
2023-07-20,HCAR,Autos,110.5,118.36,110.0,118.36,474400,f
2023-07-21,HCAR,Autos,120.5,127.24,119.5,127.24,1660670,f
2023-07-24,HCAR,Autos,129.5,130.1,119.25,120.87,404633,f
2023-07-25,HCAR,Autos,120.5,129.94,118.65,129.58,1600474,f
2023-07-26,HCAR,Autos,129.4,137.48,127.0,132.26,1442755,f
2023-07-27,HCAR,Autos,133.0,137.0,130.05,135.66,916244,f
2023-07-31,HCAR,Autos,137.0,144.88,135.66,142.59,1170589,f
2023-08-01,HCAR,Autos,147.0,149.0,143.51,144.75,726450,f
2023-08-02,HCAR,Autos,146.0,146.3,141.11,142.7,330359,f
2023-08-03,HCAR,Autos,143.99,146.5,138.0,138.72,381471,f
2023-08-04,HCAR,Autos,138.7,142.0,136.49,137.9,173567,f
2023-08-07,HCAR,Autos,137.4,142.0,128.51,131.75,525054,f
2023-08-08,HCAR,Autos,131.0,131.0,121.87,122.16,414281,f
2023-08-09,HCAR,Autos,119.15,126.93,119.0,124.0,330554,f
2023-08-10,HCAR,Autos,124.27,130.6,120.99,122.78,416706,f
2023-08-11,HCAR,Autos,123.0,127.0,122.0,123.74,80429,f
2023-08-15,HCAR,Autos,125.98,132.88,123.0,126.96,617255,f
